Username	Category	#Followers	#Followees	#Posts
claudiaschonhofen	beauty	64462	2917	1936
pourmwabeauty	beauty	4620	140	220
ivykungu	beauty	55338	406	728
angydrops	beauty	2442	2073	426
viva_glam_kay	beauty	1459908	1839	2172
makeupbydivadoll	beauty	92973	877	687
meung.e	beauty	34855	185	517
laurensrevenge	beauty	51640	2063	643
lindyvera1	beauty	1525	2845	535
vanespada	beauty	103913	5016	1316
glitterandshimmer	beauty	9142	4122	556
zabrenaxo	beauty	37338	106	585
mixnblendbeauty	beauty	3594	831	358
royailmaz0	beauty	11291	125	1552
thaciaevellin	beauty	24923	3044	2831
lavishlybritt	beauty	26490	700	347
nboutique.ae	beauty	55435	132	280
fcaligaris	beauty	1080	765	351
sylvialovesthemakeup	beauty	38024	602	313
lauramakeup90	beauty	11933	5787	4520
helinoftroy	beauty	1557	4341	2241
yackievds	beauty	7688	2142	1632
studionnsd	beauty	10181	1384	721
jreneejrenee	beauty	19988	7503	1364
tavujesus	beauty	83003	627	333
alyscasella	beauty	14562	1484	535
wesleybenjamincarter	beauty	209243	938	2390
vicmram	beauty	33466	752	761
beautybyrosita	beauty	117821	2033	1534
nikkiperkins_mua	beauty	14223	1505	2584
wonderlandxabri_	beauty	15294	852	689
katieguevarra	beauty	3175	351	1188
pamelajuicymakeup	beauty	36568	280	750
amandapastoree	beauty	138082	2128	1197
makeup___meow	beauty	25293	909	1284
neworleansnaturalhairexpo	beauty	64907	1583	10307
kourtneydee	beauty	18839	2152	2016
aminaali_mua	beauty	2073	1761	465
tanyacheban	beauty	299844	151	720
ksmmakeup	beauty	4285	922	790
fashionicide	beauty	10828	720	1465
ellinoramanda	beauty	16932	665	814
juanmacativa	beauty	71737	733	2460
makeupbymanug	beauty	12476	474	638
woongrami	beauty	25130	444	1442
betagolchin	beauty	6986	2977	3372
richelle.beauty	beauty	1955	561	463
beautifulyouliverpool	beauty	1529	1372	477
beautybymarlika	beauty	2419	2208	473
karlapatriciamakeup	beauty	1899	1461	260
_aubreanascurlss	beauty	36767	1179	766
ulovemegz	beauty	272746	715	2935
kassinka	beauty	23629	326	856
mi3na70925	beauty	14326	134	550
laleelove90	beauty	4284	2959	844
hamza.hairdresser	beauty	3818	135	261
thekriksters	beauty	84429	64	1025
itscaseyjoe	beauty	5603	797	239
themegscahill	beauty	47986	1330	833
peachyqueenblog	beauty	1349883	1709	8171
larisadoll	beauty	541897	1284	4741
lisatran.beauty	beauty	1603	595	586
theboldbre	beauty	11338	1630	894
thebeautybible.ie	beauty	14421	4424	1763
jacenbowman	beauty	50524	6074	1504
allieballiemakeup	beauty	111588	1277	2246
littlecoconut	beauty	2152	775	3592
the_stylebb	beauty	2309	2054	194
serenitybeautyyy	beauty	16592	1874	471
karina_waldron	beauty	20228	1119	658
sabrinaxmakeup	beauty	85856	2571	828
flatbushzombae	beauty	1417	1563	418
cybelesays	beauty	28596	1832	636
tammysloty	beauty	54520	1315	2070
katiesgotglam	beauty	1077	1586	611
aurasmakeupbox	beauty	45114	2272	833
naturalhairrebel	beauty	15290	987	2336
ffigs	beauty	98325	1037	811
sifascorner	beauty	9592	6361	1469
kathynunezhair	beauty	65973	1603	2956
essentiallysammie	beauty	5486	594	435
flukeofmakeup	beauty	97557	496	307
whambamglam247	beauty	7989	515	546
poppysalonmn	beauty	2113	3324	1472
kat.rist	beauty	1556	1076	516
deejabthestylist_	beauty	35371	2283	921
realritalynn	beauty	3822	4143	381
raisabercede	beauty	8720	1175	2676
ainamarieh	beauty	5827	1326	437
lolalynnmitchell	beauty	37255	1563	2836
cachosestilososbrasil	beauty	70485	1923	1171
erinscottbeauty	beauty	48273	321	1066
luferraes	beauty	512404	355	3928
taniellemua	beauty	23017	1545	848
catchingkerosene	beauty	109330	217	780
krissykakess	beauty	38425	459	1087
ronniieangelique	beauty	2075	1283	2228
kelzyness	beauty	1585	1560	915
lisatuff_tilu	beauty	1316	2607	538
curlyniquenique	beauty	4392	283	332
_artacha	beauty	13939	857	918
yellabambi	beauty	279105	215	274
eucamillagomes	beauty	4463	242	1927
camidelrey143	beauty	3743	2420	648
4everestherr	beauty	29534	879	299
ldelabios	beauty	1781	1205	273
tierrajbeauty	beauty	15435	678	1348
firstladyshanta	beauty	3678	6500	1434
_trishamarieditton_	beauty	6389	1302	619
summerd.beauty	beauty	3365	1858	327
rowisingh	beauty	98972	1741	1400
thetaylorcherie	beauty	9890	392	793
melissaq007	beauty	3168	2788	1921
smileyque	beauty	1482	910	993
nahiomitv	beauty	45589	438	671
jadescarbor	beauty	7231	968	328
fmk.k	beauty	62947	1267	607
_beautykath_	beauty	3951	3494	253
makeup_by_sarahk	beauty	2181	719	552
kinks2curls	beauty	195635	180	27593
mariahlleonard	beauty	96404	575	673
fashionablydesired	beauty	5551	1087	1558
beautygabu	beauty	2282	700	341
hailiebarber	beauty	347006	431	1545
maddiejbeauty	beauty	11045	962	268
nena	beauty	330950	406	1004
carolkyoko	beauty	47351	1705	2309
keeksta89	beauty	1395	989	1072
africanhairsummit	beauty	11000	530	1008
valerievixenmua	beauty	2041	201	1274
